398
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumCells,NumNeighbors,Omega3s,Phases,SurfaceFeatures,SurfaceFeatures_2,Volumes,Volumes_2
1,0.86147034,0.74160677,0,0,0,1,2.8709762,1.5635312,5.4997249,28.33172,24.406937,21.010996,201.01219,130.77643,135.7318,1.9037689,1.7612298,4.0857077,0,17,0.69076627,1,0,0,56518.113,56518.113
2,0.72968149,0.68387192,0,0,0,1,5.4752407,0.22665767,5.274725,22.31189,16.280573,15.258475,43.0625,60.729164,79.776031,4.666111,1.9045186,2.2836549,0,13,0.77373117,1,0,0,22055.85,22055.85
3,0.90855092,0.74104911,0,0,0,1,0.39660931,0.55470431,4.4619737,25.815586,23.454775,19.130617,27.669117,63.132359,171.4706,4.6731234,0.90440035,1.9841509,0,14,0.84092945,1,0,0,46868.68,46868.68
4,0.83463275,0.78249413,0,0,0,1,5.0804291,0.27384382,4.9056764,21.230036,17.719282,16.612377,129.21904,145.37141,25.995235,5.1039853,1.5634604,0.85313565,0,9,0.66469622,1,0,0,24123.586,24123.586
5,0.9647795,0.84528857,0,0,0,1,3.2768967,1.1723485,3.8699379,21.732059,20.966646,18.369862,223.77777,98.822899,207.21526,4.4354758,2.0235715,0.83985221,0,12,0.74808991,1,0,0,33083.773,33083.773
6,0.81440091,0.79029155,0,0,0,1,1.6680187,1.40501,5.9479866,27.573668,22.45602,21.791237,149.36363,45.543289,80.073601,2.0265796,1.9463265,0.15685533,0,10,0.73001826,1,0,0,53071.887,53071.887
7,0.83532381,0.66196805,0,0,0,1,1.5691947,1.6645949,4.947197,22.78421,19.032194,15.082419,169.22807,75.548241,31.381577,4.636343,1.7849231,2.2233057,0,10,0.79868394,1,0,0,26191.322,26191.322
8,0.12017142,0.096679859,0.66058338,0.51752633,-0.24593008,0.48509213,0.56137902,0.076777697,0.56648403,132.69571,15.946233,12.829003,55.816429,201.37439,238.24391,4.2753658,1.9915056,2.946245,0,16,0.012797706,1,1,1,47557.926,47557.926
9,0.81642091,0.63517267,0,0,0,1,1.5558617,2.0729575,5.9217196,29.020947,23.693308,18.433313,30.797295,137.15541,129.15768,4.7292185,1.6602098,2.0359046,0,18,0.81824142,1,0,0,51004.152,51004.152
10,0.65728205,0.64210242,-0.47437671,0.51022899,0.50943041,0.50508791,3.1647749,1.382349,4.5442405,20.410576,13.415506,13.105681,240.26665,137.79999,240.26663,4.6717119,1.5415258,0.032116495,0,8,0.64858431,1,1,1,13784.906,13784.906
11,0.90081668,0.65189064,0.35597369,-0.68405044,0.093163073,0.6298241,1.040553,1.2296345,5.0778661,25.139046,22.645672,16.387907,189.26233,233.91974,29.771597,1.6316695,1.4083253,4.8877678,0,11,0.78362358,1,0,0,37219.246,37219.246
12,0.85198313,0.55820042,0.35597369,-0.68405044,0.093163073,0.6298241,0.69674754,0.79774588,4.554934,17.365902,14.795456,9.6936541,237.86903,146.38094,147.64284,4.8385892,1.7303424,3.2587419,0,9,0.67686182,1,0,0,9649.4346,9649.4346
13,1,1,0.35597369,-0.68405044,0.093163073,0.6298241,nan,nan,nan,5.2562609,5.2562609,5.2562609,185.5,8.833333,203.16666,1.7541341,1.7529979,0.68848884,0,1,1,1,0,0,689.2453,689.2453
14,0.70445895,0.61326653,0.20829822,0.79826939,-0.29898015,0.47957146,2.9927909,2.1816335,5.4386606,23.553633,16.592567,14.444654,107.65625,194.05727,155.68752,4.7005134,1.3112772,2.3827293,0,11,0.70596486,1,0,0,22055.85,22055.85
15,0.071734056,0.063806392,-0.60330647,0.23978113,0.75999665,0.030518429,1.8469373,1.5574689,4.7297482,153.88399,11.038723,9.8187828,43.631313,120.45455,160.87373,4.3742213,1.4130908,5.130825,0,12,0.0036571813,1,1,1,22745.096,22745.096
16,0.88836598,0.68279237,-0.24379207,-0.53346455,-0.25356662,0.76921058,1.1680191,1.4567355,0.87610793,27.757902,24.659176,18.952885,199.75111,27.088886,119.54436,1.460566,1.253539,5.4594746,0,15,0.77898622,1,1,1,51693.398,51693.398
17,0.7026881,0.62469387,-0.28768939,-0.63643527,-0.49318913,0.51860327,4.3942237,0.86770594,0.6466884,29.245689,20.550598,18.269602,172.3925,81.494629,236.79025,1.906539,1.546424,5.8972173,0,15,0.69232088,1,1,1,42733.207,42733.207
18,0.8159405,0.68032289,0.53645748,0.56886923,-0.4041312,0.47463584,3.116297,1.2212769,4.7149849,32.213161,26.284021,21.91535,168.07872,61.751553,116.46913,1.4082377,1.8860325,0.98328263,0,15,0.8057071,1,0,0,74438.492,74438.492
19,0.84512013,0.55978727,0.32976821,-0.68955082,0.22005194,0.60609382,1.0575119,1.647451,0.41065046,20.29109,17.148407,11.358694,117.24242,65.045456,239.30302,1.6686147,1.7400582,3.9180365,0,8,0.64454287,1,1,1,15163.396,15163.396
20,0.86700302,0.82690454,0,0,0,1,5.0684857,0.48586199,4.5322604,37.141766,32.202023,30.712692,45.239872,182.19781,47.716583,1.5504665,1.4825859,1.0366864,0,24,0.80942619,1,0,0,147498.5,147498.5
21,0.90554333,0.61303043,0.66230148,0.36832562,-0.47427523,0.44805801,0.10132818,0.30943543,4.417407,26.590748,24.079075,16.300938,146.9684,112.85345,242.15512,4.4629455,1.719963,3.447871,0,13,0.63922167,1,1,1,39976.227,39976.227
22,0.97624189,0.62179053,-0.085213728,0.73750091,0.20851715,0.63667232,1.6108488,1.7176,4.8111744,24.276253,23.699495,15.094745,203.6967,78.970001,155.82002,1.647966,1.5090346,3.0883706,0,12,0.76303309,1,0,0,34462.266,34462.266
23,0.92026967,0.74014229,0,0,0,1,2.1448085,2.494808,5.6303024,27.198803,25.030233,20.130985,221.95146,220.27428,221.83975,2.0449619,1.282546,0.17425695,0,16,0.76764977,1,0,0,54450.379,54450.379
24,0.086221956,0.074259147,-0.64305121,0.35751683,0.31294531,0.60060972,3.1254544,0.78068763,3.1362278,151.75453,13.084572,11.269161,166.65555,221.81477,101.28889,5.2954283,1.6535572,0.027072299,0,14,0.0039675739,1,1,1,31016.039,31016.039
25,0.77617884,0.65941751,-0.68016809,0.42822433,0.41808224,0.42332321,3.1483836,2.133276,4.5621281,26.372034,20.469416,17.390182,134.29938,79.336418,208.07402,4.646708,1.4606248,5.2123213,0,16,0.75967687,1,0,0,37219.246,37219.246
26,0.9374156,0.77693182,0,0,0,1,3.4785147,2.1144972,4.2961078,20.115656,18.85673,15.628493,134.57845,131.46078,221.61269,1.3257372,1.9881005,5.4018769,0,10,0.74856979,1,0,0,23434.34,23434.34
27,0.85486573,0.65682346,-0.73025817,-0.071256608,-0.64032322,0.22722621,3.4220808,0.57351577,0.12838772,28.745056,24.573164,18.880426,97.048889,80.795563,234.25995,1.3270663,1.6475807,1.1325276,0,17,0.67850369,1,1,1,51693.398,51693.398
28,0.75471127,0.5276978,-0.16303404,0.71236318,0.36705324,0.5755263,2.8914917,1.5644021,4.6517062,43.883224,33.119164,23.157082,66.042496,160.24501,238.08521,4.3696485,1.6389319,0.77807796,0,18,0.20513934,1,1,1,102697.55,102697.55
29,0.78819686,0.6311838,0.040444724,0.65129107,0.030203415,0.75714719,3.6530507,1.6711363,3.8524094,26.658836,21.012411,16.826626,131.82051,186.51921,150.16669,1.245375,1.8646486,3.9225581,0,14,0.61641353,1,0,0,35840.754,35840.754
30,0.21990293,0.20527329,-0.24315841,-0.64476186,-0.055891734,0.72251803,2.0667195,1.5372406,4.7038374,79.761261,17.539734,16.372856,45.021511,97.594078,21.940857,1.2873635,1.5204628,5.150228,0,13,0.017526185,1,1,1,42733.207,42733.207
31,0.18211222,0.16348171,-0.22046492,-0.58357882,-0.23707515,0.74473238,1.2190371,1.5712281,4.7138796,106.28518,19.355829,17.375683,117.75077,29.174309,35.981659,1.5177827,1.3472779,5.3817883,0,15,0.031799987,1,1,1,75127.734,75127.734
32,0.79119152,0.78198785,0.35597369,-0.68405044,0.093163073,0.6298241,2.9995749,2.0438981,5.3063288,21.532557,17.036375,16.838198,223.86189,187.77144,189.53809,1.5343865,1.9596753,0.14740849,0,13,0.70457053,1,0,0,24123.586,24123.586
33,0.11500338,0.093322769,0.31301633,0.62393957,-0.1464553,0.70090735,3.1624057,2.1885655,0.010788143,125.9492,14.484584,11.753928,204.81009,136.40309,208.91867,4.4533877,1.5453532,2.2417722,0,13,0.0039115255,1,1,1,29637.549,29637.549
34,0.7563867,0.55866814,0.06173205,-0.6612516,0.31134719,0.67970461,2.0111101,1.7064711,6.2523284,25.513149,19.297806,14.253384,156.12917,158.55835,145.30832,1.6987662,1.3132522,4.0999217,0,11,0.72573191,1,0,0,27569.813,27569.813
35,0.87919283,0.68771023,-0.78966516,0.1693964,0.58759928,0.049607452,1.2257152,2.0481176,0.58393168,31.592737,27.776108,21.726648,121.47858,224.07497,28.039772,4.585299,1.8802439,5.0079274,0,16,0.73671871,1,1,1,75127.734,75127.734
36,0.80127996,0.69486707,0.20829822,0.79826939,-0.29898015,0.47957146,1.8939202,2.4545002,5.8605723,30.442753,24.393167,21.153666,176.7659,163.46629,176.46812,1.5661211,2.0947733,1.2567475,0,16,0.7041859,1,0,0,61342.832,61342.832
37,0.70231038,0.59900254,0,0,0,1,3.6496119,1.6144264,5.8751755,24.182394,16.983545,14.485315,204.50505,114.56566,223.51003,4.7669544,1.1158609,6.0635605,0,10,0.6334582,1,0,0,22745.096,22745.096
38,0.14800525,0.1366055,0.63001215,0.11172276,-0.69048291,0.33739591,3.1090055,1.2059304,0.021508491,105.72948,15.648518,14.443229,35.197433,135.21793,151.25377,4.433382,1.3885844,4.0823627,0,17,0.017960766,1,1,1,44800.945,44800.945
39,0.83093244,0.77912509,0.19712448,0.7632395,-0.2012208,0.58147877,5.5954986,0.16321586,4.6566548,24.891272,20.682964,19.393415,190.14911,239.27484,241.13448,4.7927904,1.8160323,2.156698,0,11,0.7315256,1,1,1,39286.98,39286.98
40,0.099450156,0.089144304,0.58582366,0.20020384,-0.74132639,0.25916061,1.5134686,0.21688411,3.2187533,160.16093,15.928029,14.277434,155.12195,162.77034,168.26436,4.7053833,1.3351637,4.0467749,0,14,0.0069767209,1,1,1,56518.113,56518.113
41,0.69020349,0.55911708,0.52671599,-0.52914989,0.52099156,0.41368878,0.89860773,0.89596236,0.39710912,22.015293,15.195032,12.309126,185.88406,135.9565,6.1449275,1.45419,1.685909,3.0295966,0,6,0.65584135,1,1,1,15852.642,15852.642
42,0.8661384,0.75456041,0,0,0,1,0.17310223,0.5846113,0.47928888,26.574518,23.01721,20.052078,183.01173,204.53522,203.16663,1.3550553,1.455624,2.2331235,0,16,0.78402597,1,0,0,48936.418,48936.418
43,0.12936324,0.12115647,0.59474319,0.34919375,-0.40555063,0.59989411,3.1409013,2.040426,0.013317667,120.15918,15.544181,14.558062,42.399998,94.176926,173.67685,4.2669597,1.5220886,3.2051492,0,15,0.0094156703,1,1,1,44800.945,44800.945
44,0.82150364,0.73058575,0.49740523,0.37021595,-0.59809852,0.50774634,1.2311512,0.94599372,4.1302514,24.537643,20.157763,17.926853,161.42482,190.34967,111.88883,1.2280169,1.3629013,3.0364428,0,13,0.75924295,1,0,0,35151.512,35151.512
45,0.70269191,0.10255714,-0.015418002,0.71559972,-0.22911434,0.65968627,3.273087,0.018406585,3.4598641,111.80718,78.566002,11.466625,135.97981,53.178444,33.281155,5.0682058,1.5954401,1.8835286,0,15,0.00011063748,1,1,1,68235.281,68235.281
46,0.21570921,0.16234799,-0.66412789,0.1566537,0.67643982,0.27716964,5.4187012,0.013228824,5.4022517,83.792793,18.074877,13.603591,23.187498,172.56551,104.89587,4.8696256,1.5019543,5.3329148,0,14,0.017893218,1,1,1,38597.738,38597.738
47,0.94731021,0.89924574,-0.42627743,0.54397976,0.53749734,0.48318759,3.0355291,2.2805893,5.0882249,25.48591,24.143063,22.918097,25.19136,26.063787,220.50623,4.5385094,1.5260342,0.067561731,0,14,0.75421643,1,1,1,55828.871,55828.871
48,0.93114036,0.72318596,0.68384099,0.32010895,0.65124196,0.075998276,2.9990685,1.7119262,5.1330032,24.974173,23.254459,18.060972,58.594444,133.38333,29.297216,2.1247754,1.7114763,1.2491612,0,17,0.73873723,1,1,1,41354.719,41354.719
49,0.86341387,0.75813532,0,0,0,1,2.0902395,1.5783218,5.3669181,29.030186,25.065065,22.008808,185.59602,45.126808,77.003639,4.9546223,2.1313651,5.4505448,0,16,0.75472593,1,0,0,63410.566,63410.566
50,0.83246541,0.51690489,0,0,0,1,1.4477834,1.3361815,4.2533884,16.136431,13.433021,8.3410006,134.26666,105.11666,70.666664,1.250874,1.1603279,2.2133763,0,5,0.62435204,1,0,0,6892.4531,6892.4531
51,0.11344928,0.085274257,0.42883524,0.68418837,-0.22104727,0.54692304,1.5728905,2.3431432,0.016562084,164.41434,18.652689,14.02031,25.842199,122.3511,116.80672,4.536603,1.8797129,2.5147662,0,16,0.0060238126,1,1,1,64789.059,64789.059
52,0.93669206,0.079931155,-0.43156391,0.5624361,0.34426796,0.61554664,1.5690615,1.5495194,4.9858241,89.230042,83.58107,7.1322603,112.68469,184.06755,169.26573,4.8569317,1.57596,0.40636131,0,15,1.9642817e-05,1,1,1,25502.076,25502.076
53,0.79927599,0.68560922,0.24827507,-0.54972237,0.53952116,0.58743656,1.9896623,1.9336128,0.15018031,34.645538,27.691347,23.753302,72.875015,227.65906,146.55319,1.2521048,1.294983,3.5452683,0,17,0.78653634,1,1,1,90980.383,90980.383
54,0.94209754,0.73263979,0,0,0,1,1.5707964,2.0859847,4.712389,15.642584,14.736839,11.460379,111.30001,79.5,185.49998,4.8733621,1.2920178,2.9497688,0,8,0.7117433,1,0,0,10338.68,10338.68
55,0.88936055,0.76711816,0.69588047,0.46323305,-0.38484544,0.39122823,3.1605895,1.3132128,4.8870244,26.254686,23.349884,20.140448,100.1111,228.25845,105.74398,5.0489044,1.5847018,6.2264271,0,11,0.65745842,1,0,0,47557.926,47557.926
56,0.89453721,0.77344906,0,0,0,1,4.3685293,0.72964633,5.0240231,22.221542,19.877995,17.187231,205.01552,66.558136,125.92637,1.7751702,1.5485748,3.0172412,0,11,0.70308059,1,0,0,29637.549,29637.549
57,0.091465347,0.085044578,0.74793947,-0.039094627,-0.60383976,0.272829,3.1627727,2.2935188,0.0067115696,158.11432,14.461981,13.446765,153.53175,170.07675,133.2011,4.2357974,1.6929839,4.3402419,0,13,0.0043555703,1,1,1,43422.453,43422.453
58,0.91268301,0.75346988,0,0,0,1,1.3430651,1.2973745,0.57450068,27.00523,24.647215,20.347626,224.11751,168.73932,134.8783,4.5736666,1.9012723,3.8791459,0,15,0.76427871,1,0,0,53761.133,53761.133
59,0.081851073,0.07266137,-0.11711426,0.76317489,-0.0076939892,0.63544405,1.607559,0.94330794,0.053127658,154.60892,12.654905,11.234096,44.782944,154.06976,42.934113,4.8767653,1.764305,1.4306349,0,11,0.003456295,1,1,1,29637.549,29637.549
60,0.099553324,0.084067404,-0.11022027,-0.56304103,-0.097798325,0.81318617,2.6774139,1.5457391,4.7014537,156.28636,15.558827,13.138589,100.43378,188.88811,172.31059,1.4971728,1.2221004,5.025394,0,14,0.0075128912,1,1,1,50314.906,50314.906
61,0.053598031,0.044950735,-0.60739702,0.22998758,0.63848686,0.4129276,0.014881069,0.78363013,0.019529207,151.91438,8.142312,6.8286629,158.44792,63.489582,55.208324,4.9244986,1.413803,5.6484227,0,8,0.0029418119,1,1,1,11027.925,11027.925
62,0.83057833,0.74092305,0.35597369,-0.68405044,0.093163073,0.6298241,2.4009466,2.1681588,4.8208094,29.827665,24.774212,22.100004,80.150887,50.117546,66.668449,4.8119946,1.5942738,5.2766938,0,14,0.80350167,1,0,0,65478.305,65478.305
63,0.0983155,0.087265797,0.011491661,0.66628224,-0.37268189,0.6457895,1.5410179,1.955402,6.2768836,156.77226,15.413143,13.680857,193.22917,143.8177,142.85152,5.2185507,1.4586899,2.1114495,0,18,0.003280631,1,1,1,44111.699,44111.699
64,0.10690337,0.073176041,0.49534842,-0.48174131,0.54298061,0.47720787,2.8410761,1.5655446,4.7102237,158.25398,16.917885,11.5804,46.671642,64.997513,160.84581,1.5203395,1.5256705,3.0632854,0,13,0.0056843213,1,1,1,46179.434,46179.434
65,0.61928934,0.50650185,0,0,0,1,3.4295728,1.6131562,4.1660795,31.71265,19.639305,16.062515,79.5,169.25302,97.32444,4.6483536,1.3376331,3.3686745,0,11,0.66298717,1,0,0,38597.738,38597.738
66,0.095573045,0.07420212,0.663921,-0.36156723,0.37730065,0.534904,0.04330314,0.2820453,0.059029099,142.35883,13.605666,10.563326,181.19658,240.99141,235.55556,2.0285943,1.7143326,3.0259604,0,10,0.003035462,1,1,1,26880.566,26880.566
67,0.88446969,0.59381312,0,0,0,1,1.9342461,2.0841796,4.364459,21.72823,19.21796,12.902507,103.05555,234.08333,213.76666,4.7150588,1.708173,6.1218119,0,11,0.64565986,1,0,0,20677.359,20677.359
